centre	context
+	) H2O nCO2 In
nCO2	H2O + In the
In	+ nCO2 the absence
the	nCO2 In absence of
absence	In the of sufficient
of	the absence sufficient oxygen
sufficient	absence of oxygen ,
oxygen	of sufficient , carbon
,	sufficient oxygen carbon monoxide
carbon	oxygen , monoxide or
monoxide	, carbon or even
or	carbon monoxide even soot
even	monoxide or soot can
soot	or even can be
can	even soot be formed
be	soot can formed ,
formed	can be , as
,	be formed as shown
as	formed , shown below
shown	, as below :
below	as shown : For
:	shown below For example
For	below : example methane
example	: For methane :
methane	For example : See
:	example methane See the
See	methane : the alkane
the	: See alkane heat
alkane	See the heat of
heat	the alkane of formation
of	alkane heat formation table
formation	heat of table for
table	of formation for detailed
for	formation table detailed data
detailed	table for data .
data	for detailed .
.	detailed data
Generally	, an
,	Generally an answer
an	Generally , answer is
answer	, an is a
is	an answer a reply
a	answer is reply to
reply	is a to a
to	a reply a question
a	reply to question or
question	to a or is
or	a question is a
is	question or a solution
a	or is solution ,
solution	is a , a
,	a solution a retaliation
a	solution , retaliation ,
retaliation	, a , or
,	a retaliation or a
or	retaliation , a response
a	, or response that
response	or a that is
that	a response is relevant
is	response that relevant to
relevant	that is to the
to	is relevant the said
the	relevant to said question
said	to the question .
question	the said .
.	said question
Performed	thousands of
thousands	Performed of times
of	Performed thousands times in
times	thousands of in recent
in	of times recent years
recent	times in years ,
years	in recent , Mr.
,	recent years Mr. Dragon
Mr.	years , Dragon 's
Dragon	, Mr. 's arrangement
's	Mr. Dragon arrangement has
arrangement	Dragon 's has been
has	's arrangement been played
been	arrangement has played for
played	has been for state
for	been played state occasions
state	played for occasions such
occasions	for state such as
such	state occasions as the
as	occasions such the memorial
the	such as memorial services
memorial	as the services for
services	the memorial for Presidents
for	memorial services Presidents Ford
Presidents	services for Ford and
Ford	for Presidents and Reagan
and	Presidents Ford Reagan and
Reagan	Ford and and at
and	and Reagan at tribute
at	Reagan and tribute concerts
tribute	and at concerts for
concerts	at tribute for events
for	tribute concerts events such
events	concerts for such as
such	for events as the
as	events such the Oklahoma
the	such as Oklahoma City
Oklahoma	as the City bombing
City	the Oklahoma bombing and
bombing	Oklahoma City and 9/11
and	City bombing 9/11 .
9/11	bombing and .
.	and 9/11
Greek	ἄβαξ itself
ἄβαξ	Greek itself is
itself	Greek ἄβαξ is probably
is	ἄβαξ itself probably a
probably	itself is a borrowing
a	is probably borrowing of
borrowing	probably a of a
of	a borrowing a Northwest
a	borrowing of Northwest Semitic
Northwest	of a Semitic ,
Semitic	a Northwest , perhaps
,	Northwest Semitic perhaps Phoenician
perhaps	Semitic , Phoenician ,
Phoenician	, perhaps , word
,	perhaps Phoenician word akin
word	Phoenician , akin to
akin	, word to Hebrew
to	word akin Hebrew ʾābāq
Hebrew	akin to ʾābāq (
ʾābāq	to Hebrew ( אבק
(	Hebrew ʾābāq אבק )
אבק	ʾābāq ( ) ,
)	"( אבק , """
,	"אבק ) "" dust"
""""	") , dust """
dust	", "" "" ("
""""	""" dust ( since"
(	"dust "" since dust"
since	""" ( dust strewn"
dust	( since strewn on
strewn	since dust on wooden
on	dust strewn wooden boards
wooden	strewn on boards to
boards	on wooden to draw
to	wooden boards draw figures
draw	boards to figures in
figures	to draw in )
in	draw figures ) .
)	figures in .
.	in )
The	American National
American	The National Standards
National	The American Standards Institute
Standards	American National Institute (
Institute	National Standards ( ANSI
(	Standards Institute ANSI ,
ANSI	Institute ( , )
,	( ANSI ) is
)	ANSI , is a
is	, ) a private
a	) is private non-profit
private	is a non-profit organization
non-profit	a private organization that
organization	private non-profit that oversees
that	non-profit organization oversees the
oversees	organization that the development
the	that oversees development of
development	oversees the of voluntary
of	the development voluntary consensus
voluntary	development of consensus standards
consensus	of voluntary standards for
standards	voluntary consensus for products
for	consensus standards products ,
products	standards for , services
,	for products services ,
services	products , , processes
,	, services processes ,
processes	services , , systems
,	, processes systems ,
systems	processes , , and
,	, systems and personnel
and	systems , personnel in
personnel	, and in the
in	and personnel the United
the	personnel in United States
United	in the States .
States	the United .
.	United States
The	organization also
organization	The also coordinates
also	The organization coordinates U.S.
coordinates	organization also U.S. standards
U.S.	also coordinates standards with
standards	coordinates U.S. with international
with	U.S. standards international standards
international	standards with standards so
standards	with international so that
so	international standards that American
that	standards so American products
American	so that products can
products	that American can be
can	American products be used
be	products can used worldwide
used	can be worldwide .
worldwide	be used .
.	used worldwide
Inside	Mission Control
Mission	Inside Control Center
Control	Inside Mission Center in
Center	Mission Control in Houston
in	Control Center Houston ,
Houston	Center in , Texas
,	in Houston Texas ,
Texas	Houston , , computer
,	, Texas computer engineer
computer	Texas , engineer Jack
engineer	, computer Jack Garman
Jack	computer engineer Garman told
Garman	engineer Jack told guidance
told	Jack Garman guidance officer
guidance	Garman told officer Steve
officer	told guidance Steve Bales
Steve	guidance officer Bales it
Bales	officer Steve it was
it	Steve Bales was safe
was	Bales it safe to
safe	it was to continue
to	was safe continue the
continue	safe to the descent
the	to continue descent and
descent	continue the and this
and	the descent this was
this	descent and was relayed
was	and this relayed to
relayed	this was to the
to	was relayed the crew
the	relayed to crew .
crew	to the .
.	the crew
Armstrong	said that
said	Armstrong that moving
that	Armstrong said moving in
moving	said that in the
in	that moving the lunar
the	moving in lunar gravity
lunar	in the gravity ,
gravity	the lunar , one-sixth
,	lunar gravity one-sixth of
one-sixth	gravity , of Earth
of	, one-sixth Earth 's
Earth	one-sixth of 's ,
's	of Earth , was
,	"Earth 's was """
was	"'s , "" even"
""""	, was even perhaps
even	"was "" perhaps easier"
perhaps	""" even easier than"
easier	even perhaps than the
than	perhaps easier the simulations
the	easier than simulations ...
simulations	than the ... It
...	the simulations It 's
It	simulations ... 's absolutely
's	... It absolutely no
absolutely	It 's no trouble
no	's absolutely trouble to
trouble	absolutely no to walk
to	no trouble walk around
walk	"trouble to around """
around	"to walk "" ."
""""	walk around .
.	"around """
Additional	details Several
details	Additional Several books
Several	Additional details books indicate
books	details Several indicate early
indicate	Several books early mission
early	books indicate mission timelines
mission	indicate early timelines had
timelines	early mission had Buzz
had	mission timelines Buzz Aldrin
Buzz	timelines had Aldrin rather
Aldrin	had Buzz rather than
rather	Buzz Aldrin than Neil
than	Aldrin rather Neil Armstrong
Neil	rather than Armstrong as
Armstrong	than Neil as the
as	Neil Armstrong the first
the	Armstrong as first man
first	as the man on
man	the first on the
on	first man the Moon
the	man on Moon .
Moon	on the .
.	the Moon
Almost	every senior
every	Almost senior manager
senior	Almost every manager at
manager	every senior at NASA
at	senior manager NASA agreed
NASA	manager at agreed with
agreed	at NASA with this
with	NASA agreed this new
this	agreed with new mission
new	with this mission ,
mission	this new , citing
,	new mission citing both
citing	mission , both confidence
both	, citing confidence in
confidence	citing both in the
in	both confidence the hardware
the	confidence in hardware and
hardware	in the and personnel
and	the hardware personnel ,
personnel	hardware and , and
,	and personnel and the
and	personnel , the potential
the	, and potential for
potential	and the for a
for	the potential a significant
a	potential for significant morale
significant	for a morale boost
morale	a significant boost provided
boost	significant morale provided by
provided	morale boost by a
by	boost provided a circumlunar
a	provided by circumlunar flight
circumlunar	by a flight .
flight	a circumlunar .
.	circumlunar flight
About	an hour
an	About hour after
hour	About an after starting
after	an hour starting his
starting	hour after his sleep
his	after starting sleep shift
sleep	starting his shift ,
shift	his sleep , Borman
,	sleep shift Borman requested
Borman	shift , requested clearance
requested	, Borman clearance to
clearance	Borman requested to take
to	requested clearance take a
take	clearance to a Seconal
a	to take Seconal sleeping
Seconal	take a sleeping pill
sleeping	a Seconal pill .
pill	Seconal sleeping .
.	sleeping pill
Bill	Anders spent
Anders	Bill spent much
spent	Bill Anders much of
much	Anders spent of the
of	spent much the next
the	much of next 20
next	of the 20 hours
20	the next hours taking
hours	next 20 taking as
taking	20 hours as many
as	hours taking many photographs
many	taking as photographs as
photographs	as many as possible
as	many photographs possible of
possible	photographs as of targets
of	as possible targets of
targets	possible of of interest
of	of targets interest .
interest	targets of .
.	of interest
The	United States
United	The States Air
States	The United Air Force
Air	United States Force also
Force	States Air also presents
also	Air Force presents an
presents	Force also an Astronaut
an	also presents Astronaut Badge
Astronaut	presents an Badge to
Badge	an Astronaut to its
to	Astronaut Badge its pilots
its	Badge to pilots who
pilots	to its who exceed
who	its pilots exceed in
exceed	pilots who in altitude
in	who exceed altitude .
altitude	exceed in .
.	in altitude
The	first ionisation
first	The ionisation energy
ionisation	The first energy of
energy	first ionisation of hydrogen
of	ionisation energy hydrogen (
hydrogen	energy of ( 1312.0
(	of hydrogen 1312.0 kJ/mol
1312.0	hydrogen ( kJ/mol )
kJ/mol	( 1312.0 ) is
)	1312.0 kJ/mol is much
is	kJ/mol ) much higher
much	) is higher than
higher	is much than that
than	much higher that of
that	higher than of the
of	than that the alkali
the	that of alkali metals
alkali	of the metals .
metals	the alkali .
.	alkali metals
Sodium	is found
is	Sodium found in
found	Sodium is in many
in	is found many different
many	found in different minerals
different	in many minerals ,
minerals	many different , of
,	different minerals of which
